Entity,Code,Year,Research and development expenditure (% of GDP)
Luxembourg,LUX,2016,1.2669
Luxembourg,LUX,2017,1.23898
Luxembourg,LUX,2018,1.16712
Luxembourg,LUX,2019,1.17664
Luxembourg,LUX,2020,1.1286
Macao,MAC,2015,0.13649
Macao,MAC,2016,0.23492
Macao,MAC,2017,0.1719
Macao,MAC,2018,0.20079
Macao,MAC,2019,0.24666
Macao,MAC,2020,0.44897
Madagascar,MDG,2016,0.01264
Madagascar,MDG,2017,0.01275
Malaysia,MYS,2015,1.27945
Malaysia,MYS,2016,1.41517
Malaysia,MYS,2018,1.04026
Mali,MLI,2015,0.31462
Mali,MLI,2017,0.29198
Mali,MLI,2019,0.15768
Malta,MLT,2015,0.71515
Malta,MLT,2016,0.55436
Malta,MLT,2017,0.56332
Malta,MLT,2018,0.59286
Malta,MLT,2019,0.58894
Malta,MLT,2020,0.67989
Mauritania,MRT,2018,0.01036
Mauritius,MUS,2017,0.36636
Mauritius,MUS,2018,0.34691
Mauritius,MUS,2019,0.36692
Mauritius,MUS,2020,0.42098
Mexico,MEX,2015,0.42943
Mexico,MEX,2016,0.38778
Mexico,MEX,2017,0.32832
Mexico,MEX,2018,0.30711
Mexico,MEX,2019,0.28384
Mexico,MEX,2020,0.30096
Middle East and North Africa (WB),,2020,1.5990223
Middle-income countries,,2015,1.363875
Middle-income countries,,2016,1.391911
Middle-income countries,,2017,1.3495259
Middle-income countries,,2018,1.4162576
Middle-income countries,,2019,1.5633827
Middle-income countries,,2020,1.8643937
Moldova,MDA,2015,0.30943
Moldova,MDA,2016,0.2769
Moldova,MDA,2017,0.25374
Moldova,MDA,2018,0.25168
Moldova,MDA,2019,0.23672
Moldova,MDA,2020,0.22754
Mongolia,MNG,2015,0.1564
Mongolia,MNG,2016,0.18345
Mongolia,MNG,2017,0.1342
Mongolia,MNG,2018,0.10161
Mongolia,MNG,2019,0.0927
Mongolia,MNG,2020,0.13301
Montenegro,MNE,2015,0.374
Montenegro,MNE,2016,0.32454
Montenegro,MNE,2017,0.34898
Montenegro,MNE,2018,0.50374
Montenegro,MNE,2019,0.36328
Mozambique,MOZ,2015,0.31312
Myanmar,MMR,2017,0.03484
Myanmar,MMR,2018,0.06354
Myanmar,MMR,2019,0.08926
Myanmar,MMR,2020,0.14725
Netherlands,NLD,2015,2.14606
Netherlands,NLD,2016,2.15081
Netherlands,NLD,2017,2.17857
Netherlands,NLD,2018,2.1388
Netherlands,NLD,2019,2.18435
Netherlands,NLD,2020,2.29423
New Zealand,NZL,2015,1.22817
New Zealand,NZL,2017,1.34654
New Zealand,NZL,2019,1.40774
Nicaragua,NIC,2015,0.10742
North America (WB),,2015,2.6954618
North America (WB),,2016,2.7614439
North America (WB),,2017,2.8012667
North America (WB),,2018,2.8975074
North America (WB),,2019,3.0465813
North America (WB),,2020,3.3222525
North Macedonia,MKD,2015,0.44412
North Macedonia,MKD,2016,0.43585
North Macedonia,MKD,2017,0.35439
North Macedonia,MKD,2018,0.36367
North Macedonia,MKD,2019,0.36783
North Macedonia,MKD,2020,0.3756
Norway,NOR,2015,1.93526
Norway,NOR,2016,2.0446
Norway,NOR,2017,2.09919
Norway,NOR,2018,2.04781
Norway,NOR,2019,2.15302
Norway,NOR,2020,2.27601
Oman,OMN,2015,0.25155
Oman,OMN,2016,0.2605
Oman,OMN,2017,0.22824
Oman,OMN,2018,0.21825
Oman,OMN,2019,0.31444
Oman,OMN,2020,0.37103
Pakistan,PAK,2015,0.24605
Pakistan,PAK,2017,0.23627
Pakistan,PAK,2019,0.20096
Panama,PAN,2015,0.12033
Panama,PAN,2016,0.14494
Panama,PAN,2017,0.14718
Papua New Guinea,PNG,2016,0.03158
Paraguay,PRY,2015,0.09674
Paraguay,PRY,2016,0.11676
Paraguay,PRY,2017,0.14888
Paraguay,PRY,2018,0.14684
Paraguay,PRY,2019,0.13758
Peru,PER,2015,0.11702
Peru,PER,2016,0.12008
Peru,PER,2017,0.12085
Peru,PER,2018,0.12685
Peru,PER,2019,0.15686
Peru,PER,2020,0.17167
Philippines,PHL,2015,0.15683
Philippines,PHL,2018,0.32222
Poland,POL,2015,1.00275
Poland,POL,2016,0.96287
Poland,POL,2017,1.03418
Poland,POL,2018,1.20891
Poland,POL,2019,1.32064
Poland,POL,2020,1.39205
Portugal,PRT,2015,1.2433
Portugal,PRT,2016,1.28075
Portugal,PRT,2017,1.31928
Portugal,PRT,2018,1.34955
Portugal,PRT,2019,1.39562
Portugal,PRT,2020,1.6174
Puerto Rico,PRI,2015,0.42883
Qatar,QAT,2015,0.51883
Qatar,QAT,2018,0.53129
Romania,ROU,2015,0.48838
Romania,ROU,2016,0.48126
Romania,ROU,2017,0.50322
Romania,ROU,2018,0.50112
Romania,ROU,2019,0.47832
Romania,ROU,2020,0.47033
Russia,RUS,2015,1.10085
Russia,RUS,2016,1.10238
Russia,RUS,2017,1.10967
Russia,RUS,2018,0.99002
Russia,RUS,2019,1.03879
Russia,RUS,2020,1.09803
Rwanda,RWA,2016,0.64981
Rwanda,RWA,2019,0.75795
Saudi Arabia,SAU,2020,0.52232
Senegal,SEN,2015,0.5772
Serbia,SRB,2015,0.8109
Serbia,SRB,2016,0.83822
Serbia,SRB,2017,0.87238
Serbia,SRB,2018,0.91891
Serbia,SRB,2019,0.88667
Serbia,SRB,2020,0.90595
Seychelles,SYC,2016,0.22175
Singapore,SGP,2015,2.17445
Singapore,SGP,2016,2.07471
Singapore,SGP,2017,1.89872
Singapore,SGP,2018,1.81391
Singapore,SGP,2019,1.89064
Slovakia,SVK,2015,1.16071
Slovakia,SVK,2016,0.79102
Slovakia,SVK,2017,0.88694
Slovakia,SVK,2018,0.8397
Slovakia,SVK,2019,0.82574
Slovakia,SVK,2020,0.91109
Slovenia,SVN,2015,2.19565
Slovenia,SVN,2016,2.00764
Slovenia,SVN,2017,1.8653
Slovenia,SVN,2018,1.94645
Slovenia,SVN,2019,2.04704
Slovenia,SVN,2020,2.14735
South Africa,ZAF,2015,0.73147
South Africa,ZAF,2016,0.74992
South Africa,ZAF,2017,0.76257
South Africa,ZAF,2018,0.68657
South Africa,ZAF,2019,0.61525
South Asia (WB),,2015,0.62368643
South Asia (WB),,2016,0.6498463
South Asia (WB),,2017,0.6023054
South Asia (WB),,2018,0.637916
South Korea,KOR,2015,3.9782
South Korea,KOR,2016,3.98704
South Korea,KOR,2017,4.29206
South Korea,KOR,2018,4.51633
South Korea,KOR,2019,4.62703
South Korea,KOR,2020,4.8145
Spain,ESP,2015,1.22236
Spain,ESP,2016,1.19048
Spain,ESP,2017,1.21042
Spain,ESP,2018,1.24213
Spain,ESP,2019,1.25139
Spain,ESP,2020,1.40541
Sri Lanka,LKA,2015,0.10871
Sri Lanka,LKA,2016,0.12854
Sri Lanka,LKA,2017,0.12758
Sri Lanka,LKA,2018,0.12836
Sweden,SWE,2015,3.21903
Sweden,SWE,2016,3.24736
Sweden,SWE,2017,3.36279
Sweden,SWE,2018,3.32106
Sweden,SWE,2019,3.38758
Sweden,SWE,2020,3.52722
Switzerland,CHE,2015,3.04311
Switzerland,CHE,2017,3.03413
Switzerland,CHE,2019,3.14686
Syria,SYR,2015,0.01963
Tajikistan,TJK,2015,0.1034
Tajikistan,TJK,2016,0.10622
Tajikistan,TJK,2017,0.10957
Tajikistan,TJK,2018,0.09401
Tajikistan,TJK,2019,0.09367
Tajikistan,TJK,2020,0.08903
Thailand,THA,2015,0.61609
Thailand,THA,2016,0.77829
Thailand,THA,2017,1.00166
Thailand,THA,2018,1.11406
Thailand,THA,2019,1.14257
Trinidad and Tobago,TTO,2015,0.08658
Trinidad and Tobago,TTO,2016,0.09141
Trinidad and Tobago,TTO,2017,0.09149
Trinidad and Tobago,TTO,2018,0.08445
Trinidad and Tobago,TTO,2019,0.06106
Tunisia,TUN,2015,0.59413
Tunisia,TUN,2016,0.56538
Tunisia,TUN,2017,0.69954
Tunisia,TUN,2018,0.7184
Tunisia,TUN,2019,0.74839
Turkey,TUR,2015,0.87689
Turkey,TUR,2016,0.93816
Turkey,TUR,2017,0.95272
Turkey,TUR,2018,1.02517
Turkey,TUR,2019,1.06429
Turkey,TUR,2020,1.08893
Ukraine,UKR,2015,0.61477
Ukraine,UKR,2016,0.48339
Ukraine,UKR,2017,0.44879
Ukraine,UKR,2018,0.47113
Ukraine,UKR,2019,0.43384
Ukraine,UKR,2020,0.40608
United Arab Emirates,ARE,2015,0.89504
United Arab Emirates,ARE,2016,0.96366
United Arab Emirates,ARE,2018,1.27836
United Arab Emirates,ARE,2019,1.31308
United Arab Emirates,ARE,2020,1.44934
United Kingdom,GBR,2015,1.63424
United Kingdom,GBR,2016,1.64281
United Kingdom,GBR,2017,1.65981
United Kingdom,GBR,2018,1.70494
United Kingdom,GBR,2019,1.70799
United States,USA,2015,2.78206
United States,USA,2016,2.84585
United States,USA,2017,2.89572
United States,USA,2018,3.00082
United States,USA,2019,3.16609
United States,USA,2020,3.45018
Upper-middle-income countries,,2015,1.5387706
Upper-middle-income countries,,2016,1.575104
Upper-middle-income countries,,2017,1.5694333
Upper-middle-income countries,,2018,1.6074606
Upper-middle-income countries,,2019,1.7004377
Upper-middle-income countries,,2020,1.9956479
Uruguay,URY,2015,0.36446
Uruguay,URY,2016,0.37598
Uruguay,URY,2017,0.44849
Uruguay,URY,2018,0.38673
Uruguay,URY,2019,0.48302
Uzbekistan,UZB,2015,0.16497
Uzbekistan,UZB,2016,0.17238
Uzbekistan,UZB,2017,0.14834
Uzbekistan,UZB,2018,0.1245
Uzbekistan,UZB,2019,0.11377
Uzbekistan,UZB,2020,0.13918
Vietnam,VNM,2015,0.44113
Vietnam,VNM,2017,0.52674
Vietnam,VNM,2019,0.53172
World,OWID_WRL,2015,2.0950832
World,OWID_WRL,2016,2.1378517
World,OWID_WRL,2017,2.1336324
World,OWID_WRL,2018,2.196267
World,OWID_WRL,2019,2.3323271
World,OWID_WRL,2020,2.628466
