Pais,Code_x,Year,R&D  (% of GDP),Publicacions
Sweden,SWE,2016,3.24736,1578
Sweden,SWE,2017,3.36279,1610
Sweden,SWE,2018,3.32106,1650
Sweden,SWE,2019,3.38758,1732
Sweden,SWE,2020,3.52722,1843
Switzerland,CHE,2017,3.03413,2931
Switzerland,CHE,2019,3.14686,3261
Thailand,THA,2016,0.77829,165
Thailand,THA,2017,1.00166,165
Thailand,THA,2018,1.11406,223
Thailand,THA,2019,1.14257,241
Turkey,TUR,2016,0.93816,357
Turkey,TUR,2017,0.95272,336
Turkey,TUR,2018,1.02517,327
Turkey,TUR,2019,1.06429,382
Turkey,TUR,2020,1.08893,375
United Kingdom,GBR,2016,1.64281,7344
United Kingdom,GBR,2017,1.65981,7296
United Kingdom,GBR,2018,1.70494,7330
United Kingdom,GBR,2019,1.70799,7683
United States,USA,2016,2.84585,27562
United States,USA,2017,2.89572,26921
United States,USA,2018,3.00082,27350
United States,USA,2019,3.16609,28442
United States,USA,2020,3.45018,28449
